"serial","father","child","depth","access"
"url_169","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Sony_Pictures_Entertainment","1","True"
"url_170","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://www.youtube.com/watch","1","True"
"url_171","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Gizmodo","1","True"
"url_172","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Influencer","1","True"
"url_173","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/ComicBook.com","1","True"
"url_174","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Bleeding_Cool","1","True"
"url_175","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Scavenger_hunt","1","True"
"url_176","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/The_Six_Arms_Saga","1","True"
"url_177","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Grand_Theft_Auto_VI","1","True"
"url_178","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/TheWrap","1","True"
"url_179","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/CineEurope","1","True"
"url_180","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/San_Diego_Comic-Con","1","True"
"url_181","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Little_Caesars","1","True"
"url_182","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Asus","1","True"
"url_183","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/BMW","1","True"
"url_184","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/BMW_iX3","1","True"
"url_185","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Zillow","1","True"
"url_186","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_knockout_stage","1","True"
"url_187","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Argentina_national_football_team","1","True"
"url_188","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Lionel_Messi","1","True"
"url_189","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Galaxy_Z_series","1","True"
"url_190","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Kasra_Farahani","1","True"
"url_191","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Galaxy_Unpacked","1","True"
"url_192","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Major_League_Baseball","1","True"
"url_193","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Juan_Soto","1","True"
"url_194","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/New_York_Mets","1","True"
"url_195","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Mr._Met","1","True"
"url_196","https://en.wikipedia.org/wiki/Spider-Man:_Brand_New_Day","https://en.wikipedia.org/wiki/Citi_Field","1","True"
